size, procs, ordered_mean, static_mean
10000,1,2.973333,0.272456
14143,2,5.728346,0.319921
17321, 3,9.066434,0.361873
20000, 4,13.926170,0.428320
22361, 5,17.996958,0.508408
24495, 6,22.071240,0.527905
