size, procs, ordered_mean, static_mean
10000,1,3.648491,0.495505
14143,2,7.235954,0.518786
17321,3,11.594572,2.078211
20000,4,15.997440,1.965393
22361,5,19.737929,2.233630
24495,6,23.998512,2.109240
