size, procs, ordered_mean, static_mean
25000,1,17.488111,16.829681
25000,8,23.695076,2.304021
25000,16,21.017866,1.160939
25000,24,21.390397,0.825071
25000,32,20.415448,0.652119
25000,40,20.937885,0.519899
25000,48,20.545313,0.439310
25000,56,20.926916,0.396869
25000,64,21.060596,0.365215
25000,72,20.850877,0.331583
25000,80,21.438903,0.305277
25000,88,21.764659,0.303201
25000,96,22.110156,0.275588
25000,104,23.210856,0.287806
25000,112,23.450866,0.263476
25000,120,24.001877,0.246903
25000,128,26.414454,0.241169
25000,136,24.204117,0.230187
25000,144,23.975575,0.239919
25000,152,23.676673,0.231770
25000,160,23.626539,0.209382
25000,168,23.481239,0.222618
25000,176,22.679513,0.223589
25000,184,22.893622,0.205561
25000,192,22.732178,0.199998
25000,200,22.713797,0.211056
25000,208,22.877077,0.200783
25000,216,22.730909,0.213869
25000,224,23.235928,0.179882
25000,232,23.656064,0.197225
25000,240,23.700042,0.178909
25000,248,24.277987,0.178816
25000,256,24.517395,0.176789
