size, procs, ordered_mean, static_mean
25000,1,17.494739,16.952845
25000,8,23.287279,2.481670
25000,16,20.137672,1.273732
25000,24,21.009505,0.925318
25000,32,20.591278,0.723996
25000,40,21.683050,0.661948
25000,48,20.372432,0.551382
25000,56,20.656713,0.527411
25000,64,20.083894,0.469156
25000,72,20.594675,0.480516
25000,80,20.387492,0.400592
25000,88,20.600901,0.414953
25000,96,21.112456,0.385943
25000,104,21.498819,0.369358
25000,112,21.405294,0.350360
25000,120,21.942076,0.334566
25000,128,22.159881,0.322830
25000,136,22.158477,0.317199
25000,144,22.067671,0.305228
25000,152,22.102659,0.320600
25000,160,22.213165,0.310605
25000,168,22.235222,0.294227
25000,176,21.860968,0.286935
25000,184,22.090371,0.329716
25000,192,21.436881,0.296920
25000,200,21.921338,0.322557
25000,208,22.151107,0.302462
25000,216,22.394703,0.274950
25000,224,22.154001,0.287555
25000,232,21.821976,0.295718
25000,240,21.851462,0.264768
25000,248,22.150175,0.299659
25000,256,23.252987,0.298878
