size, procs, ordered_mean, static_mean
15000,1,6.529246,6.103157
15000,8,8.472150,0.986521
15000,16,7.796833,0.451875
15000,24,8.149426,0.333168
15000,32,7.590692,0.297293
15000,40,7.389755,0.243195
15000,48,7.505074,0.197612
15000,56,7.770329,0.191989
15000,64,7.814575,0.188078
15000,72,7.319374,0.198266
15000,80,7.441761,0.191454
15000,88,7.745929,0.165648
15000,96,7.509921,0.173475
15000,104,7.765961,0.148478
15000,112,8.265888,0.147053
15000,120,8.575300,0.136036
15000,128,8.272532,0.119866
15000,136,8.524665,0.154265
15000,144,8.252520,0.155934
15000,152,8.002776,0.157660
15000,160,7.885473,0.138109
15000,168,7.889153,0.145825
15000,176,7.972516,0.131771
15000,184,7.859160,0.145104
15000,192,8.496126,0.130987
15000,200,8.174816,0.142916
15000,208,7.902005,0.117044
15000,216,8.228285,0.111119
15000,224,7.915699,0.115616
15000,232,8.699347,0.137501
15000,240,8.232775,0.113051
15000,248,9.114421,0.114160
15000,256,8.742807,0.127472
