size, procs, ordered_mean, static_mean
10000,1,3.674355,3.449475
10000,2,3.599403,1.847282
10000,3,4.109054,1.686504
10000,4,4.099196,1.604661
10000,5,4.082077,1.252683
10000,6,4.237170,1.256139
10000,7,4.120212,1.175111
10000,8,4.052025,1.065988
10000,9,4.054230,0.982164
10000,10,4.113783,0.988534
10000,11,4.131845,0.887815
10000,12,4.021266,0.910345
10000,13,4.128633,0.897660
10000,14,4.062724,0.881320
10000,15,4.078749,0.818780
10000,16,3.900916,0.651499
10000,17,3.855500,0.639098
10000,18,4.085905,0.834209
10000,19,3.848234,0.624548
10000,20,3.939246,0.601595
10000,21,3.930867,0.665631
10000,22,4.083151,0.782075
10000,23,3.876576,0.605000
10000,24,3.943935,0.665249
10000,25,4.006569,0.667656
10000,26,4.030944,0.649654
10000,27,3.999285,0.710165
10000,28,3.952232,0.626669
10000,29,3.958042,0.597150
10000,30,4.010166,0.628715
10000,31,3.930532,0.636778
10000,32,3.927430,0.576109
10000,33,3.915563,0.612812
10000,34,3.922181,0.587667
10000,35,3.913634,0.591385
10000,36,3.878916,0.623452
10000,37,3.973543,0.590631
10000,38,3.905596,0.574516
10000,39,3.901663,0.559377
10000,40,3.950615,0.611718
10000,41,3.957847,0.703449
10000,42,3.968748,0.637680
10000,43,4.022081,0.625821
10000,44,4.039808,0.589305
10000,45,3.968033,0.630213
10000,46,3.951232,0.586842
10000,47,3.996281,0.598579
10000,48,3.939044,0.547338
