size, procs, ordered_mean, static_mean
30000,1,28.499304,31.262017
30000,2,28.517141,15.858351
30000,4,31.358087,10.737606
30000,6,31.328350,9.208802
30000,8,31.232923,7.745594
30000,10,31.183593,6.850406
30000,12,31.588529,6.318134
30000,14,31.206868,5.612789
30000,16,29.857944,3.624719
30000,18,31.140421,5.118507
30000,20,29.897192,3.564963
30000,22,31.156680,4.381815
30000,24,30.349135,3.643044
30000,26,30.462058,3.675441
30000,28,30.515686,3.451195
30000,30,30.349746,3.128743
30000,32,29.927939,2.802762
30000,34,29.848621,2.503876
30000,36,29.879363,2.590527
30000,38,29.914982,2.447034
30000,40,30.496840,2.592463
30000,42,30.111203,2.763142
30000,44,30.174340,2.660467
30000,46,30.082752,2.845328
30000,48,29.892635,2.395687
