threads_per_socket,ordered_mean,static_mean
1,30.769442,14.874996
2,30.779657,7.738069
3,30.786582,5.336818
4,30.865403,4.144347
5,30.893481,3.435643
6,30.969135,2.911092
7,31.034295,2.570002
8,31.034099,2.303976
9,31.191608,2.098923
10,31.220610,1.930639
11,31.256122,1.805922
12,31.430334,1.679297
