threads_per_socket, ordered_mean, static_mean
1,0.004044,1.884103
1.890221
2,0.006768,1.889341
1.893225
3,0.006347,1.881375
1.885586
4,0.007093,1.889019
1.890243
5,0.006906,1.873904
1.877072
6,0.006347,1.895156
1.892551
7,0.007470,1.888245
1.887523
8,0.006167,1.880264
1.884249
9,0.007048,1.889991
1.887203
10,0.007399,1.904768
1.906012
11,0.006577,1.893446
1.897372
12,0.006488,1.868706
1.873032
