threads_per_socket, ordered_mean, static_mean
1,4.635253,2.894231
2,4.632766,2.014389
3,4.678417,1.775197
4,4.730641,1.561947
5,4.806128,1.470110
6,4.854535,1.414936
7,4.978878,1.380511
8,4.998119,1.343625
9,5.107487,1.320702
10,5.242881,1.296847
11,5.343937,1.285726
12,5.380058,1.278683
