threads_per_socket, ordered_mean, static_mean
1,50.209246,26.442903
2,49.422386,14.550080
3,49.105590,11.096723
4,49.067129,8.790144
5,49.168086,7.579846
6,49.244889,6.881766
7,49.383119,6.302269
8,49.458706,5.857686
9,49.518309,5.512746
10,49.708002,5.229546
11,49.690486,4.900457
12,49.873775,4.729130
