threads_per_socket, ordered_mean, static_mean
1,15.266020,8.324975
2,15.161129,4.751224
3,15.224677,3.619448
4,15.297889,3.017069
5,15.322469,2.680096
6,15.450872,2.516995
7,15.504145,2.310400
8,15.542858,2.186319
9,15.658586,2.051234
10,15.757776,1.972165
11,15.805282,1.915082
12,15.980956,1.845287
