threads_per_socket, ordered_mean, static_mean
1,20.389039,10.636293
2,20.406277,5.350878
3,20.395131,3.581114
4,20.430999,2.699463
5,20.414237,2.170154
6,20.395620,1.817389
7,20.391477,1.566303
8,20.398389,1.376291
9,20.402743,1.228409
10,20.397650,1.109630
11,20.380576,1.013643
12,20.405230,0.942469
